01100;CHEIGNIEU LA BALME                    ;01510;CHEIGNIEU LA BALME                    
01101;CHEVILLARD                            ;01430;CHEVILLARD                            
01102;CHEVROUX                              ;01190;CHEVROUX                              
01103;CHEVRY                                ;01170;CHEVRY                                
01104;CHEZERY FORENS                        ;01200;CHEZERY FORENS                        
01104;CHEZERY FORENS                        ;01410;CHEZERY FORENS                        
01105;CIVRIEUX                              ;01390;CIVRIEUX                              
01106;CIZE                                  ;01250;CIZE                                  
01107;CLEYZIEU                              ;01230;CLEYZIEU                              
01108;COLIGNY                               ;01270;COLIGNY                               
01109;COLLONGES                             ;01550;COLLONGES                             
01110;COLOMIEU                              ;01300;COLOMIEU                              
01111;CONAND                                ;01230;CONAND                                
01112;CONDAMINE                             ;01430;CONDAMINE                             
01113;CONDEISSIAT                           ;01400;CONDEISSIAT                           
01114;CONFORT                               ;01200;CONFORT                               
01115;CONFRANCON                            ;01310;CONFRANCON                            
01116;CONTREVOZ                             ;01300;CONTREVOZ                             
01117;CONZIEU                               ;01300;CONZIEU                               
01118;CORBONOD                              ;01420;CORBONOD                              
01119;CORCELLES                             ;01110;CORCELLES                             
01121;CORLIER                               ;01110;CORLIER                               
01122;CORMARANCHE EN BUGEY                  ;01110;CORMARANCHE EN BUGEY                  
01123;CORMORANCHE SUR SAONE                 ;01290;CORMORANCHE SUR SAONE                 
01124;CORMOZ                                ;01560;CORMOZ                                
01125;CORVEISSIAT                           ;01250;CORVEISSIAT                           
01127;COURMANGOUX                           ;01370;COURMANGOUX                           
01128;COURTES                               ;01560;COURTES                               
01129;CRANS                                 ;01320;CRANS                                 
01130;CRAS SUR REYSSOUZE                    ;01340;CRAS SUR REYSSOUZE                    
01133;CRESSIN ROCHEFORT                     ;01350;CRESSIN ROCHEFORT                     
01134;CROTTET                               ;01290;CROTTET                               
01134;CROTTET                               ;01750;CROTTET                               
01135;CROZET                                ;01170;CROZET                                
01136;CRUZILLES LES MEPILLAT                ;01290;CRUZILLES LES MEPILLAT                
01138;CULOZ                                 ;01350;CULOZ                                 
01139;CURCIAT DONGALON                      ;01560;CURCIAT DONGALON                      
01140;CURTAFOND                             ;01310;CURTAFOND                             
01141;CUZIEU                                ;01300;CUZIEU                                
01142;DAGNEUX                               ;01120;DAGNEUX                               
01143;DIVONNE LES BAINS                     ;01220;DIVONNE LES BAINS                     
01144;DOMMARTIN                             ;01380;DOMMARTIN                             
01145;DOMPIERRE SUR VEYLE                   ;01240;DOMPIERRE SUR VEYLE                   
01146;DOMPIERRE SUR CHALARONNE              ;01400;DOMPIERRE SUR CHALARONNE              
01147;DOMSURE                               ;01270;DOMSURE                               
01148;DORTAN                                ;01590;DORTAN                                
01149;DOUVRES                               ;01500;DOUVRES                               
01150;DROM                                  ;01250;DROM                                  
01151;DRUILLAT                              ;01160;DRUILLAT                              
01152;ECHALLON                              ;01130;ECHALLON                              
01153;ECHENEVEX                             ;01170;ECHENEVEX                             
01154;ETREZ                                 ;01340;ETREZ                                 
01155;EVOSGES                               ;01230;EVOSGES                               
01156;FARAMANS                              ;01800;FARAMANS                              
01157;FAREINS                               ;01480;FAREINS                               
01158;FARGES                                ;01550;FARGES                                
01159;FEILLENS                              ;01570;FEILLENS                              
01160;FERNEY VOLTAIRE                       ;01210;FERNEY VOLTAIRE                       
01162;FLAXIEU                               ;01350;FLAXIEU                               
01163;FOISSIAT                              ;01340;FOISSIAT                              
01165;FRANCHELEINS                          ;01090;FRANCHELEINS                          
01166;FRANS                                 ;01480;FRANS                                 
01167;GARNERANS                             ;01140;GARNERANS                             
01169;GENOUILLEUX                           ;01090;GENOUILLEUX                           
01170;BEARD GEOVREISSIAT                    ;01460;BEARD GEOVREISSIAT                    
01171;GEOVREISSET                           ;01100;GEOVREISSET                           
01172;GERMAGNAT                             ;01250;GERMAGNAT                             
01173;GEX                                   ;01170;GEX                                   
01174;GIRON                                 ;01130;GIRON                                 
01175;GORREVOD                              ;01190;GORREVOD                              
01176;LE GRAND ABERGEMENT                   ;01260;LE GRAND ABERGEMENT                   
01177;GRAND CORENT                          ;01250;GRAND CORENT                          
01179;GRIEGES                               ;01290;GRIEGES                               
01180;GRILLY                                ;01220;GRILLY                                
01181;GROISSIAT                             ;01100;GROISSIAT                             
01182;GROSLEE                               ;01680;GROSLEE                               
01183;GUEREINS                              ;01090;GUEREINS                              
01184;HAUTECOURT ROMANECHE                  ;01250;HAUTECOURT ROMANECHE                  
01185;HAUTEVILLE LOMPNES                    ;01110;HAUTEVILLE LOMPNES                    
01186;HOSTIAZ                               ;01110;HOSTIAZ                               
01187;HOTONNES                              ;01260;HOTONNES                              
01188;ILLIAT                                ;01140;ILLIAT                                
01189;INJOUX GENISSIAT                      ;01200;INJOUX GENISSIAT                      
01190;INNIMOND                              ;01680;INNIMOND                              
